Rank,Tier,Name,Practice Type,Location,Provider Count,BH Referral Gap,Insurance Networks,Monthly Patient Volume,Score,Providers (pts),BH Gap (pts),Networks (pts),Volume (pts),Outreach Action,Notes
1,Tier 1 - High Priority   (score >= 70),Sunrise Family Medicine,Primary Care,"Phoenix, AZ",14,full,Aetna; Cigna; United Healthcare; Medicare; Blue Cross Blue Shield,2400,80.4,20.0,35.0,10.4,15.0,Personalized email - Lead with: Large suburban group,Large suburban group; no on-site therapist; high PHQ-9 screening rates.
2,Tier 1 - High Priority   (score >= 70),Metro Health Associates,Internal Medicine,"Chicago, IL",22,partial,Aetna; Anthem; Medicare; Medicaid; Cigna; United Healthcare; Humana,3100,74.6,25.0,20.0,14.6,15.0,Personalized email - Lead with: Urban multi-specialty group,"Urban multi-specialty group; 1 social worker for 22 providers, 6-week waitlist."
3,Tier 1 - High Priority   (score >= 70),Westside Internal Medicine,Internal Medicine,"Los Angeles, CA",7,full,Anthem; Aetna; Cigna; Medicare; Molina Healthcare; Centene,1100,73.5,15.0,35.0,12.5,11.0,Personalized email - Lead with: Diverse patient population,Diverse patient population; providers rank mental health as top unmet need.
4,Tier 2 - Medium Priority (score 50-69),Clearwater Pediatrics,Pediatrics,"Tampa, FL",6,full,Medicaid; Humana; Cigna; Blue Cross Blue Shield,1300,69.3,15.0,35.0,8.3,11.0,Templated intro email - Use standard Rula referral partner template,High ADHD and anxiety caseload; average 8-week wait for BH referrals.
5,Tier 2 - Medium Priority (score 50-69),Northside Community Clinic,FQHC,"Atlanta, GA",11,partial,Medicaid; Medicare; Molina Healthcare; Centene; United Healthcare,2200,65.4,20.0,20.0,10.4,15.0,Templated intro email - Use standard Rula referral partner template,Integrated BH model but only 2 counselors for 11 PCPs; chronic shortage.
6,Tier 2 - Medium Priority (score 50-69),Mountain View OB/GYN,OB/GYN,"Salt Lake City, UT",5,full,Aetna; Blue Cross Blue Shield; United Healthcare; Optum,900,60.3,10.0,35.0,8.3,7.0,Templated intro email - Use standard Rula referral partner template,High postpartum depression screening; no current BH referral pathway.
7,Tier 2 - Medium Priority (score 50-69),Riverside Health Center,Internal Medicine,"Houston, TX",8,partial,United Healthcare; Humana; Medicare; Medicaid; Aetna; Cigna,1500,58.5,15.0,20.0,12.5,11.0,Templated intro email - Use standard Rula referral partner template,"Strong network overlap; part-time psychiatrist 1 day/week, overwhelmed."
8,Tier 2 - Medium Priority (score 50-69),Valley Primary Care,Primary Care,"Fresno, CA",4,full,Medicaid; Medicare; Molina Healthcare,620,58.2,10.0,35.0,6.2,7.0,Templated intro email - Use standard Rula referral partner template,Rural-serving practice; providers cite BH as biggest unmet patient need.
9,Tier 2 - Medium Priority (score 50-69),Lakewood Medical Group,Primary Care / Urgent Care,"Denver, CO",9,partial,Aetna; Cigna; United Healthcare; Medicare; Centene,1750,56.4,15.0,20.0,10.4,11.0,Templated intro email - Use standard Rula referral partner template,Mixed PCP + urgent care; occasional psych consult but no ongoing BH support.
10,Tier 3 - Lower Priority  (score <  50),South Bay Family Practice,Primary Care,"San Jose, CA",2,none,Aetna; Oscar Health; Medicare,380,19.2,5.0,5.0,6.2,3.0,Nurture list - Add to drip sequence; revisit in 90 days,Small 2-physician practice; embedded therapist covers most BH needs.
